epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,4467.05,1.15902,1.65782,1.43837,0.46177,0.5441,0.50589,0.3361,1.18365,1.42634,1.52431,0.0002785,0.0002785,0.0002785
58,4545.17,1.15238,1.63655,1.42631,0.4321,0.60077,0.50984,0.3376,1.169,1.44536,1.51102,0.000272313,0.000272313,0.000272313
59,4623.39,1.14813,1.65944,1.43162,0.46603,0.58625,0.52659,0.35022,1.16513,1.41446,1.50563,0.000266125,0.000266125,0.000266125
60,4701.6,1.13496,1.61069,1.41621,0.47947,0.55431,0.52426,0.35102,1.15737,1.39835,1.49966,0.000259938,0.000259938,0.000259938
61,4779.8,1.14783,1.64036,1.42754,0.49486,0.54356,0.54104,0.35419,1.19035,1.40935,1.51974,0.00025375,0.00025375,0.00025375
62,4858.04,1.14324,1.63332,1.43052,0.48546,0.60515,0.55422,0.36275,1.19017,1.37648,1.52577,0.000247563,0.000247563,0.000247563
63,4936.2,1.13048,1.60634,1.4045,0.46985,0.58505,0.53805,0.35661,1.18084,1.39848,1.50937,0.000241375,0.000241375,0.000241375
64,5014.44,1.12813,1.60169,1.40809,0.52063,0.52959,0.5436,0.36344,1.16618,1.36177,1.49533,0.000235188,0.000235188,0.000235188
65,5092.57,1.12279,1.59121,1.40788,0.49378,0.59385,0.54686,0.35954,1.17016,1.36804,1.511,0.000229,0.000229,0.000229
66,5170.67,1.13493,1.59399,1.41529,0.49021,0.56864,0.55232,0.3652,1.17097,1.36142,1.50658,0.000222813,0.000222813,0.000222813
67,5248.83,1.1314,1.58154,1.40983,0.49814,0.58491,0.54484,0.35961,1.18008,1.37112,1.50474,0.000216625,0.000216625,0.000216625
68,5326.98,1.11669,1.57431,1.39605,0.5203,0.55377,0.56911,0.38063,1.15546,1.33673,1.48826,0.000210437,0.000210437,0.000210437
69,5405.18,1.11961,1.56641,1.40021,0.49144,0.5866,0.55664,0.37303,1.1656,1.34071,1.47738,0.00020425,0.00020425,0.00020425
70,5483.31,1.12065,1.5682,1.39745,0.49653,0.60864,0.56526,0.37666,1.15922,1.32797,1.49453,0.000198063,0.000198063,0.000198063
71,5561.4,1.11455,1.55307,1.39835,0.48501,0.56654,0.56126,0.38342,1.13384,1.33717,1.4725,0.000191875,0.000191875,0.000191875
72,5639.51,1.09988,1.5449,1.39019,0.53009,0.52661,0.56531,0.37829,1.15459,1.33625,1.48148,0.000185688,0.000185688,0.000185688
73,5717.61,1.096,1.53366,1.39282,0.51025,0.59546,0.58385,0.39849,1.14174,1.30648,1.47359,0.0001795,0.0001795,0.0001795
74,5795.83,1.09473,1.52282,1.38309,0.54888,0.55986,0.59173,0.40003,1.14552,1.30665,1.47624,0.000173313,0.000173313,0.000173313
75,5873.97,1.08959,1.50202,1.39078,0.50046,0.60528,0.57709,0.38855,1.14581,1.29948,1.4703,0.000167125,0.000167125,0.000167125
76,5952.15,1.09419,1.52849,1.38204,0.4939,0.6143,0.57998,0.39311,1.15137,1.30672,1.48884,0.000160938,0.000160938,0.000160938
77,6030.33,1.08802,1.47618,1.36703,0.52223,0.5707,0.58749,0.39684,1.15311,1.29453,1.48275,0.00015475,0.00015475,0.00015475
78,6108.53,1.08757,1.49842,1.37855,0.52972,0.58669,0.59036,0.40344,1.14178,1.27818,1.46481,0.000148563,0.000148563,0.000148563
79,6186.71,1.08785,1.48688,1.37676,0.5249,0.61096,0.58933,0.39586,1.15687,1.30354,1.47512,0.000142375,0.000142375,0.000142375
80,6264.84,1.08514,1.47587,1.38212,0.52702,0.58063,0.60293,0.4103,1.13789,1.27486,1.46922,0.000136187,0.000136187,0.000136187
81,6343.01,1.07935,1.48176,1.3734,0.5464,0.58438,0.59533,0.40512,1.1414,1.27585,1.46577,0.00013,0.00013,0.00013
82,6421.13,1.07834,1.4688,1.36442,0.51625,0.62674,0.60682,0.4146,1.13287,1.26557,1.46489,0.000123812,0.000123812,0.000123812
83,6499.29,1.08014,1.45331,1.37448,0.55027,0.56701,0.59674,0.4036,1.13862,1.27467,1.46216,0.000117625,0.000117625,0.000117625
84,6577.43,1.07248,1.46089,1.36562,0.5564,0.57981,0.60625,0.41419,1.13142,1.25428,1.45385,0.000111438,0.000111438,0.000111438
85,6655.51,1.08304,1.47335,1.37791,0.53283,0.59215,0.59985,0.40828,1.13225,1.27072,1.4531,0.00010525,0.00010525,0.00010525
86,6733.67,1.06731,1.44919,1.36288,0.5253,0.6242,0.60792,0.41557,1.12986,1.24658,1.45495,9.90625e-05,9.90625e-05,9.90625e-05
87,6811.88,1.06311,1.42138,1.35171,0.52529,0.61659,0.61675,0.42349,1.12573,1.23809,1.44705,9.2875e-05,9.2875e-05,9.2875e-05
88,6890.12,1.06244,1.43205,1.35687,0.52583,0.62814,0.61849,0.42318,1.12396,1.2381,1.45317,8.66875e-05,8.66875e-05,8.66875e-05
89,6968.32,1.06468,1.43816,1.35194,0.54279,0.62604,0.62659,0.43064,1.12295,1.22048,1.44758,8.05e-05,8.05e-05,8.05e-05
90,7046.51,1.06058,1.40466,1.36136,0.55502,0.60691,0.62418,0.42651,1.12477,1.23254,1.45107,7.43125e-05,7.43125e-05,7.43125e-05
91,7125.8,0.99363,1.14614,1.37981,0.56159,0.60598,0.62033,0.42664,1.12612,1.24401,1.46526,6.8125e-05,6.8125e-05,6.8125e-05
92,7203.99,0.97683,1.09585,1.36648,0.52854,0.64134,0.62266,0.42729,1.12216,1.23362,1.46,6.19375e-05,6.19375e-05,6.19375e-05
93,7281.92,0.95906,1.09298,1.35611,0.5822,0.61076,0.6307,0.43235,1.12687,1.22725,1.46082,5.575e-05,5.575e-05,5.575e-05
94,7359.97,0.96236,1.06541,1.35239,0.53636,0.63692,0.62667,0.43264,1.10953,1.22518,1.44121,4.95625e-05,4.95625e-05,4.95625e-05
95,7437.9,0.96497,1.06617,1.3493,0.59511,0.58471,0.62791,0.43346,1.11329,1.21675,1.44922,4.3375e-05,4.3375e-05,4.3375e-05
96,7516,0.95445,1.05445,1.34742,0.55065,0.62861,0.6255,0.43211,1.11306,1.2221,1.44798,3.71875e-05,3.71875e-05,3.71875e-05
97,7594.02,0.94386,1.03673,1.34254,0.58363,0.59853,0.63431,0.43661,1.1135,1.21767,1.44611,3.1e-05,3.1e-05,3.1e-05
98,7672.04,0.94604,1.04273,1.34739,0.59821,0.58912,0.63919,0.44136,1.11238,1.2016,1.4471,2.48125e-05,2.48125e-05,2.48125e-05
99,7749.8,0.94555,1.0286,1.34261,0.60874,0.59198,0.6422,0.44517,1.1083,1.19238,1.44405,1.8625e-05,1.8625e-05,1.8625e-05
100,7827.52,0.94654,1.03099,1.33375,0.60506,0.60196,0.64091,0.44176,1.11103,1.19591,1.4426,1.24375e-05,1.24375e-05,1.24375e-05
